date,text,sentiment_category
2024-03-21 08:54:24+00:00,INDEX OPTIONS TRADE 1  21. BANKNIFTY 47000 CE370 TO 45585 POINTS2. FINNIFTY 20500 CE350 TO 40555 POINTS,Positive
2024-06-19 11:14:58+00:00,INDEX OPTIONS TRADEBANKNIFTY 51100 CE450 TO 1010MORE THAN DOUBLED,Positive
2024-11-07 06:49:45+00:00,"SHORT TERMBANKNIFTY NOV FUTURES AROUND 52100TARGET 52300,52500,52700STOP LOSS 50800 degrade",Negative
2024-10-14 10:27:45+00:00,INDEX OPTIONS TRADEBANKNIFTY 16 OCT 51800 CE220 TO 28060 POINTS,Negative
2024-11-12 13:09:30+00:00,NIFTY NOV 23800 PE160 TO 20040 POINTS AND HOLDING gain,Positive
2024-11-18 09:18:20+00:00,CAUGHT PERFECT MOVE IN NIFTYNIFTY 23400 CE170 TO 25080 POINTS50 GAINS ON INVESTMENTS bullish,Positive
2024-09-10 14:37:51+00:00,INDEX OPTIONS TRADEBANKNIFTY 11 SEP 51200 CE150 TO 24090 POINTS,Negative
2024-02-16 10:06:26+00:00,"WE ARE COMING UP WITH A TECHNICAL ANALYSIS COURSE FOR THE MEMBERSTOPICS TO BE COVERED IN COURSE1. PRICE ACTION SUPPORT AND RESISTANCE.2. TYPE OF CHART PATTERNS AND CANDLE STICK PATTERNS!3. DRAWING TRENDLINES AND HORIZONTAL LINES!4. CHART MOVEMENT STUDIES!5. BREAKOUT AND BREAKDOWN TRADING STRATEGY!6. NIFTY50, BANKNIFTY AND FINNIFTY TRADING STRATEGY!7. HOW TO FIND HERO OR ZERO ON EXPIRY DAYS!8. 51530 MINS CHART ANALYSIS!9. SWING TRADING 1 DAY CHART ANALYSIS!10. COMMODITY TRADING STRATEGY!CRUDEOIL, NATURALGAS AND SILVER11. HOW TO FIND STOP LOSS, TARGET IN EACH OF THE TRADING STYLE!12. HOW TO CONTROL EMOTIONS AND GREED DURING TRADING!13. SPECIAL PRIVATE CHANNEL WILL BE THERE TO SOLVE YOUR QUERIES!14. PERSONAL SUPPORT WILL BE GIVEN IN CASE OF ANY QUERIES! 2 SESSIONS WILL BE THERE ON FRIDAY AND SATURDAY EVERY WEEK! WE WILL HAVE PRACTICE SESSIONS ON MONTHLY BASIS! FEES IS 15999USE COUPON CODESPECIAL50GET FLAT 50 DISCOUNT ON THE COURSE!JOINING LINKhttpsweb.fankonnect.comg3424 COURSE DURATION WILL BE 12 SESSIONS!FIRST SESSION WILL BE TODAY EVENING AT 6.30 PMQUERIES USHAANALYSIS gain",Positive
2024-08-21 12:31:10+00:00,INDEX OPTIONS TRADEHERO ZEROBANKNIFTY 21 AUG 51000 CESTOP LOSS TAKEN degrade,Negative
2024-03-05 10:52:46+00:00,BTST TRADEBANKNIFTY 47300 CEEXITED AT STOP LOSS red,Negative
2024-11-12 03:43:33+00:00,NIFTY LEVEL doubled,Positive
2024-03-26 09:35:20+00:00,INDEX OPTIONS TRADE 2FINNIFTY 20500 CE235 TO 26025 POINTS,Positive
2024-07-29 15:31:47+00:00,INDEX OPTIONS TRADENIFTY 1 AUGUST 24800 CE255 TO STOP LOSS loss,Negative
2024-02-15 13:00:37+00:00,HERO OR ZERONIFTY 21950 CE5 TO 9DOUBLED green,Positive
2024-03-05 10:52:46+00:00,BTST TRADEBANKNIFTY 47300 CEEXITED AT STOP LOSS red,Negative
2023-12-21 12:27:35+00:00,HERO OR ZERONIFTY 21250 CE12 TO 32 gain,Positive
2024-03-01 15:11:28+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 46600 CE445 TO 720285 POINTS,Neutral
2024-11-07 06:49:45+00:00,"SHORT TERMBANKNIFTY NOV FUTURES AROUND 52100TARGET 52300,52500,52700STOP LOSS 50800 degrade",Negative
2024-06-20 09:04:47+00:00,INDEX OPTIONS TRADEBANKNIFTY 51600 CE420 TO 51595 POINTS,Negative
2024-08-20 13:52:47+00:00,TODAYS INDEX OPTIONS TRADEBANKNIFTY 21 AUG 50800 CE200 TO 305105 POINTS,Positive
2024-02-27 08:11:53+00:00,INDEX OPTIONS TRADE 3BANKNIFTY 46300 CE450 TO 580130 POINTS,Positive
2024-11-25 08:32:31+00:00,"RISKY TRADERSSELL BANKNIFTY NOV FUTURES AROUND 52050TARGET 51900,51700,51500STOP LOSS 52200 red",Negative
2024-03-28 17:11:16+00:00,INDEX OPTIONS TRADE 3HERO ZERONIFTY 22500 CE20 TO 45,Positive
2024-06-18 17:42:32+00:00,HERO OR ZERO TRADEFINNIFTY 22500 CE35 TO 60 growth,Positive
2023-11-30 09:01:04+00:00,TODAYS INDEX OPTIONS UPDATEBANKNIFTY 44200 PE50 TO 70,Neutral
2023-12-15 10:13:58+00:00,INDEX OPTIONS TRADE 2BANKNIFTY 47900 CE240 TO 400,Negative
2024-06-18 17:42:32+00:00,HERO OR ZERO TRADEFINNIFTY 22500 CE35 TO 60 growth,Positive
2023-12-26 15:11:35+00:00,INDEX OPTIONS TRADE 5NIFTY 21300 CESL TAKEN!SAFE TRADERS EXITED 220REST HOLDING FOR TOMORROW WITH POSITIVE VIEW!! green,Positive
2024-02-12 12:53:39+00:00,INDEX OPTIONS TRADE 3BANKNIFTY 45400 CE240 TO 28545 POINTS,Neutral
2024-07-01 17:41:05+00:00,INDEX OPTIONS TRADEBANKNIFTY 52400 CE410 TO 495,Negative
2024-04-16 15:55:59+00:00,INDEX OPTIONS TRADE 3NIFTY 18 APRIL 22300 PE205 TO 240,Positive
2024-04-25 15:08:55+00:00,INDEX OPTIONS TRADE 4HERO ZERO NIFTY 22600 CE16 TO 64 doubled,Positive
2024-11-12 13:09:30+00:00,NIFTY NOV 23800 PE160 TO 20040 POINTS AND HOLDING gain,Positive
2024-08-06 09:27:16+00:00,"SHORT TERMBANKNIFTY AUGUST FUTURES AROUND 49980TARGET AT 50400,50600,51000STOP LOSS AF 49600 red",Negative
2024-11-26 02:36:42+00:00,Gift nifty flat green growth,Positive
2024-11-13 06:11:00+00:00,"SHORT TERMNIFTY NOVEMBER FUTURES AROUND 23780TARGET 23900,24000,24100STOP LOSS AT 23650 degrade",Negative
2024-11-26 02:37:04+00:00,Nifty future flat green,Positive
2023-12-21 12:27:35+00:00,HERO OR ZERONIFTY 21250 CE12 TO 32 gain,Positive
2024-03-05 10:52:46+00:00,BTST TRADEBANKNIFTY 47300 CEEXITED AT STOP LOSS red,Negative
2024-04-25 15:05:41+00:00,INDEX OPTIONS TRADEHERO ZERO NIFTY 22500 CE55 TO 120 gain,Positive
2024-10-25 06:51:10+00:00,"SHORT TERMNIFTY OCT FUTURES AROUND 24140TARGET 24200,24300,24500STOP LOSS AT 24000 loss",Negative
2024-05-16 09:46:26+00:00,BTST CANDIDATEBANKNIFTY MAY FUTURES AT 48080,Neutral
2024-08-21 12:31:10+00:00,INDEX OPTIONS TRADEHERO ZEROBANKNIFTY 21 AUG 51000 CESTOP LOSS TAKEN degrade,Negative
2024-01-10 15:14:25+00:00,INDEX OPTIONS TRADE 2NIFTY 21300 CE250 TO 23515 POINTS LOSS degrade,Negative
2024-10-14 03:38:48+00:00,NIFTY LEVEL GAINS,Positive
2024-11-26 02:37:04+00:00,Nifty future flat green,Positive
2024-01-10 15:14:25+00:00,INDEX OPTIONS TRADE 2NIFTY 21300 CE250 TO 23515 POINTS LOSS degrade,Negative
2024-10-14 03:38:48+00:00,NIFTY LEVEL gain,Positive
2024-11-28 03:28:10+00:00,BANKNIFTY,Neutral
2024-11-22 02:52:59+00:00,Gift nifty green bullish,Positive
2024-11-12 03:43:33+00:00,NIFTY LEVEL doubled,Positive
2024-05-21 12:03:10+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 22 MAY 48200 CE130 TO 220,Negative
2024-03-05 10:52:46+00:00,BTST TRADEBANKNIFTY 47300 CEEXITED AT STOP LOSS red,Negative
2023-12-20 14:38:04+00:00,INDEX OPTIONS TRADE 3BANKNIFTY  47900 CESTOP LOSS TAKEN degrade,Negative
2024-11-12 13:09:30+00:00,NIFTY NOV 23800 PE160 TO 20040 POINTS AND HOLDING gain,Positive
2024-08-21 12:34:37+00:00,INDEX OPTIONS TRADEHERO ZEROBANKNIFTY 21 AUG 50500 CE100 TO 14040 POINTS,Neutral
2024-10-14 03:38:48+00:00,NIFTY LEVEL gain,Positive
2024-02-12 12:53:52+00:00,INDEX OPTIONS TRADE 4NIFTY 21700 CE150 TO 13515 POINTS LOSS degrade,Negative
2024-04-08 15:43:01+00:00,INDEX OPTIONS TRADE 3FINNIFTY 21500 CE138 TO 18042 POINTS,Neutral
2024-02-12 12:53:20+00:00,INDEX OPTIONS TRADE 1BTST TRADEBANKNIFTY 45800 CESTOP LOSS TAKEN! red,Negative
2024-11-08 03:45:36+00:00,BANKNIFTY 51800 PEAbove  350Sl open TRG 380400,Neutral
2024-11-26 02:36:42+00:00,Gift nifty flat green growth,Positive
2024-09-20 17:15:34+00:00,INDEX OPTIONS TRADENIFTY SEP 25500 CE180 TO 352172 POINTS,Positive
2024-01-03 14:05:36+00:00,INDEX OPTIONS TRADE 3BANKNIFTY 47800 CE35 TO 8247 POINTS,Neutral
2024-11-12 13:09:30+00:00,NIFTY NOV 23800 PE160 TO 20040 POINTS AND HOLDING gain,Positive
2024-07-18 12:11:12+00:00,INDEX OPTIONS TRADENIFTY JULY 24600 CE210 TO 375165 POINTS NIFTYBANKNIFTY 24 JULY 52600 CE450 TO 680230 POINTS,Positive
2024-11-25 08:32:31+00:00,"RISKY TRADERSSELL BANKNIFTY NOV FUTURES AROUND 52050TARGET 51900,51700,51500STOP LOSS 52200 red",Negative
2024-01-24 13:35:29+00:00,INDEX OPTIONS TRADE 3NIFTY 21600 PE300 TO 35050 POINTS NIFTY growth,Positive
2024-10-18 08:59:18+00:00,SHORT TERM NIFTY VIEWNIFTY 24 OCT 24700 CE155 TO 300145 POINTS growth,Positive
2024-04-15 15:08:08+00:00,INDEX OPTIONS TRADE 2BANKNIFTY 48100 CESTOP LOSS TAKEN red,Negative
2023-12-20 14:36:55+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 47600 CE535 TO 558STOP LOSS TAKEN red,Negative
2024-03-05 10:52:46+00:00,BTST TRADEBANKNIFTY 47300 CEEXITED AT STOP LOSS red,Negative
2023-12-20 14:36:55+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 47600 CE535 TO 558STOP LOSS TAKEN red,Negative
2024-01-03 14:06:14+00:00,INDEX OPTIONS TRADE 6BANKNIFTY 47600 CE500 TO 525STOP LOSS TAKEN degrade,Negative
2024-08-30 10:20:32+00:00,"STOCK MARKET RESEARCH AND IN DEPTH STUDY COURSEBATCH 1 FRIDAY 57 PMBATCH 2 SUNDAY 10 AM12 PMMEMBERS ARE ALLOWED TO CHOOSE 1 BATCHTOPICS TO BE COVERED IN COURSE1. PRICE ACTION SUPPORT AND RESISTANCE.2. TYPE OF CHART PATTERNS AND CANDLE STICK PATTERNS!3. DRAWING TRENDLINES AND HORIZONTAL LINES!4. CHART MOVEMENT STUDIES!5. BREAKOUT AND BREAKDOWN TRADING STRATEGY!6. NIFTY50, BANKNIFTY AND FINNIFTY TRADING STRATEGY!7. HOW TO FIND HERO OR ZERO ON EXPIRY DAYS!8. 51530 MINS CHART ANALYSIS!9. SWING TRADING 1 DAY CHART ANALYSIS!10. COMMODITY TRADING STRATEGY!CRUDEOIL, NATURALGAS AND SILVER11. HOW TO FIND STOP LOSS, TARGET IN EACH OF THE TRADING STYLE!12. HOW TO CONTROL EMOTIONS AND GREED DURING TRADING!13. PERSONAL SUPPORT WILL BE GIVEN IN CASE OF ANY QUERIES!FEES 5999JOINING LINKhttpscosmofeed.comvig66c1aa906befee0013f05b83 COURSE DURATION WILL BE 12 HOURS!QUERIES USHAANALYSISNOTEIN CASE ANY BATCH HAS LESS MEMBERS WE MAY SHIFT YOU TO ANOTHER BATCHSEATS FILLING FASTBOOK YOURS NOW gain",Positive
2024-09-23 03:58:54+00:00,BANKNIFTY 53400 CEAbove  420Sl open TRG 450480,Positive
2024-02-16 10:06:26+00:00,"WE ARE COMING UP WITH A TECHNICAL ANALYSIS COURSE FOR THE MEMBERSTOPICS TO BE COVERED IN COURSE1. PRICE ACTION SUPPORT AND RESISTANCE.2. TYPE OF CHART PATTERNS AND CANDLE STICK PATTERNS!3. DRAWING TRENDLINES AND HORIZONTAL LINES!4. CHART MOVEMENT STUDIES!5. BREAKOUT AND BREAKDOWN TRADING STRATEGY!6. NIFTY50, BANKNIFTY AND FINNIFTY TRADING STRATEGY!7. HOW TO FIND HERO OR ZERO ON EXPIRY DAYS!8. 51530 MINS CHART ANALYSIS!9. SWING TRADING 1 DAY CHART ANALYSIS!10. COMMODITY TRADING STRATEGY!CRUDEOIL, NATURALGAS AND SILVER11. HOW TO FIND STOP LOSS, TARGET IN EACH OF THE TRADING STYLE!12. HOW TO CONTROL EMOTIONS AND GREED DURING TRADING!13. SPECIAL PRIVATE CHANNEL WILL BE THERE TO SOLVE YOUR QUERIES!14. PERSONAL SUPPORT WILL BE GIVEN IN CASE OF ANY QUERIES! 2 SESSIONS WILL BE THERE ON FRIDAY AND SATURDAY EVERY WEEK! WE WILL HAVE PRACTICE SESSIONS ON MONTHLY BASIS! FEES IS 15999USE COUPON CODESPECIAL50GET FLAT 50 DISCOUNT ON THE COURSE!JOINING LINKhttpsweb.fankonnect.comg3424 COURSE DURATION WILL BE 12 SESSIONS!FIRST SESSION WILL BE TODAY EVENING AT 6.30 PMQUERIES USHAANALYSIS gain",Positive
2024-09-20 17:15:34+00:00,INDEX OPTIONS TRADENIFTY SEP 25500 CE180 TO 352172 POINTS,Positive
2024-03-05 10:53:27+00:00,INDEX OPTIONS TRADE 3BANKNIFTY 47300 CE240 TO 570570 POINTS,Positive
2024-10-14 03:38:48+00:00,BANKNIFTY LEVEL,Neutral
2024-09-18 03:45:57+00:00,BANKNIFTY 52600 PEAbove  400Sl open TRG 430460,Neutral
2024-04-24 11:36:37+00:00,INDEX OPTIONS TRADE 2BANKNIFTY 48000 CEBTST175 TO 250,Neutral
2024-01-10 15:14:47+00:00,INDEX OPTIONS TRADE 4BANKNIFTY 10 JAN 47300 CE50 TO 3416 POINTS LOSS red,Negative
2024-11-12 03:43:33+00:00,BANKNIFTY LEVEL,Neutral
2024-08-06 09:27:16+00:00,"SHORT TERMBANKNIFTY AUGUST FUTURES AROUND 49980TARGET AT 50400,50600,51000STOP LOSS AF 49600 red",Negative
2024-10-14 10:28:22+00:00,INDEX OPTIONS TRADEBANKNIFTY 52000 CE135 TO 17035 POINTS SO FAR,Negative
2024-07-29 15:31:47+00:00,INDEX OPTIONS TRADENIFTY 1 AUGUST 24800 CE255 TO STOP LOSS loss,Negative
2024-11-28 03:28:10+00:00,NIFTY growth,Positive
2024-11-12 12:49:38+00:00,INDEX OPTIONS TRADEBANKNIFTY 13 NOV 50800 PE70 TO 10030 GAINS doubled,Positive
2024-02-08 12:36:02+00:00,INDEX OPTIONS TRADE 3BANKNIFTY 45000 PE250 TO 380130 POINTS,Neutral
2023-12-05 07:55:54+00:00,INDEX OPTIONS TRADE 2FINNIFTY 21050 PE!!14 TO 58,Negative
2024-02-12 12:53:20+00:00,INDEX OPTIONS TRADE 1BTST TRADEBANKNIFTY 45800 CESTOP LOSS TAKEN! red,Negative
2024-11-18 09:18:20+00:00,CAUGHT PERFECT MOVE IN NIFTYNIFTY 23400 CE170 TO 25080 POINTS50 GAINS ON INVESTMENTS bullish,Positive
2024-10-14 03:38:48+00:00,NIFTY LEVEL gain,Positive
2023-12-01 13:16:05+00:00,INDEX OPTIONS TRADE 2BANKNIFTY 44700 CE390 TO 440,Negative
2024-07-22 13:53:11+00:00,INDEX OPTIONS TRADEMIDCPNIFTY 12200 CE40 TO 2625X MOVE,Neutral
2024-10-25 06:13:49+00:00,"SHORT TERMBANKNIFTY OCT FUTURES AROUND 50600TARGET 50800,51000,51200STOP LOSS 50200 red",Negative
2024-11-21 05:04:12+00:00,"SHORT TERMBANKNIFTY NOV FUTURES AROUND 50150TARGET 50350,50600,51000STOP LOSS 49700 degrade",Negative
2024-08-12 16:30:00+00:00,OUR INDEX OPTIONS TRADEBANKNIFTY 50500 CE370 TO 520150 POINTS NIFTY 24300 CE190 TO 26070 POINTS bullish,Positive
2024-04-25 15:05:41+00:00,INDEX OPTIONS TRADEHERO ZERO NIFTY 22500 CE55 TO 120 gain,Positive
2024-04-15 15:07:47+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 48200 CE170 TO 225,Positive
2024-02-16 10:06:26+00:00,"WE ARE COMING UP WITH A TECHNICAL ANALYSIS COURSE FOR THE MEMBERSTOPICS TO BE COVERED IN COURSE1. PRICE ACTION SUPPORT AND RESISTANCE.2. TYPE OF CHART PATTERNS AND CANDLE STICK PATTERNS!3. DRAWING TRENDLINES AND HORIZONTAL LINES!4. CHART MOVEMENT STUDIES!5. BREAKOUT AND BREAKDOWN TRADING STRATEGY!6. NIFTY50, BANKNIFTY AND FINNIFTY TRADING STRATEGY!7. HOW TO FIND HERO OR ZERO ON EXPIRY DAYS!8. 51530 MINS CHART ANALYSIS!9. SWING TRADING 1 DAY CHART ANALYSIS!10. COMMODITY TRADING STRATEGY!CRUDEOIL, NATURALGAS AND SILVER11. HOW TO FIND STOP LOSS, TARGET IN EACH OF THE TRADING STYLE!12. HOW TO CONTROL EMOTIONS AND GREED DURING TRADING!13. SPECIAL PRIVATE CHANNEL WILL BE THERE TO SOLVE YOUR QUERIES!14. PERSONAL SUPPORT WILL BE GIVEN IN CASE OF ANY QUERIES! 2 SESSIONS WILL BE THERE ON FRIDAY AND SATURDAY EVERY WEEK! WE WILL HAVE PRACTICE SESSIONS ON MONTHLY BASIS! FEES IS 15999USE COUPON CODESPECIAL50GET FLAT 50 DISCOUNT ON THE COURSE!JOINING LINKhttpsweb.fankonnect.comg3424 COURSE DURATION WILL BE 12 SESSIONS!FIRST SESSION WILL BE TODAY EVENING AT 6.30 PMQUERIES USHAANALYSIS gain",Positive
2024-11-28 03:28:10+00:00,NIFTY growth,Positive
2024-06-18 17:42:32+00:00,HERO OR ZERO TRADEFINNIFTY 22500 CE35 TO 60 growth,Positive
2024-02-12 12:53:20+00:00,INDEX OPTIONS TRADE 1BTST TRADEBANKNIFTY 45800 CESTOP LOSS TAKEN! red,Negative
2024-08-21 12:31:10+00:00,INDEX OPTIONS TRADEHERO ZEROBANKNIFTY 21 AUG 51000 CESTOP LOSS TAKEN degrade,Negative
2024-11-22 02:52:59+00:00,Gift nifty green bullish,Positive
2024-05-29 05:54:13+00:00,BANKNIFTY ELECTION TRADE270SHOULD BOOK PARTIAL GAINS OR HOLD WITH TRAILING STOP LOSS AT COST loss,Negative
2024-10-22 03:46:05+00:00,BANKNIFTY 52300 PEAbove  450Sl open TRG 480500,Positive
2023-12-26 15:11:35+00:00,INDEX OPTIONS TRADE 5NIFTY 21300 CESL TAKEN!SAFE TRADERS EXITED 220REST HOLDING FOR TOMORROW WITH POSITIVE VIEW!! green,Positive
2024-03-18 15:45:16+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 46500 CE350 TO 475125 POINTS,Positive
2024-10-14 10:28:22+00:00,INDEX OPTIONS TRADEBANKNIFTY 52000 CE135 TO 17035 POINTS SO FAR,Negative
2024-11-07 06:49:45+00:00,"SHORT TERMBANKNIFTY NOV FUTURES AROUND 52100TARGET 52300,52500,52700STOP LOSS 50800 degrade",Negative
2024-04-03 13:31:45+00:00,INDEX OPTIONS TRADE 4BANKNIFTY 47400 CE125 TO 240115 POINTS,Positive
2024-11-12 15:58:55+00:00,NIFTY NOV 23800 PE160 TO 20040 POINTS AND HOLDING bullish,Positive
2024-11-12 03:43:33+00:00,NIFTY LEVEL doubled,Positive
2024-09-20 17:14:46+00:00,INDEX OPTIONS TRADEBANKNIFTY SEP 53100 CE370 TO 499129 POINTS,Positive
2024-10-25 06:51:10+00:00,"SHORT TERMNIFTY OCT FUTURES AROUND 24140TARGET 24200,24300,24500STOP LOSS AT 24000 loss",Negative
2024-06-24 19:40:02+00:00,INDEX OPTIONS TRADEBANKNIFTY JUNE 51500 CE180 TO 485300 POINTS,Neutral
2024-06-19 07:43:54+00:00,INDEX OPTIONS TRADEBANKNIFTY 50700 PE45 TO 95DOUBLED,Positive
2024-11-28 03:28:10+00:00,NIFTY growth,Positive
2024-02-12 12:53:20+00:00,INDEX OPTIONS TRADE 1BTST TRADEBANKNIFTY 45800 CESTOP LOSS TAKEN! red,Negative
2024-11-11 03:40:12+00:00,NIFTY LEVEL gain,Positive
